SEP=,
NAME,TYPE,LOCATION,
"2758MSReportBuilAGStageUE2","Application group","East US 2"
"2758SSRS2758MSReportAGStageUE2","Application group","East US 2"
"2758SSRSHPStageUE2","Host pool","East US 2"
"2758SSRSHRRASubscripAGStageUE2","Application group","East US 2"
"2758SSRSWrkspcStageUE2","Workspace","East US 2"
"2766InternetExplAGStageUE2","Application group","East US 2"
"2766OneDriveAGStageUE2","Application group","East US 2"
"2766RDSWindowsExAGStageUE2","Application group","East US 2"
"2766SalesReportiAcrobatReadeAGStageUE2","Application group","East US 2"
"2766SalesReportiHPStageUE2","Host pool","East US 2"
"2766SalesReportiWrkspcStageUE2","Workspace","East US 2"
"2766SalesRprtngAGStgUE2","Application group","East US 2"
"2771Fxall7.8.1.4AGStageUE2","Application group","East US 2"
"2771FXAllianceHPStageUE2","Host pool","East US 2"
"2771FXAllianceWrkspcStageUE2","Workspace","East US 2"
"2771FXAllSettlmntCen-ChrmAGStageUE2","Application group","East US 2"
"2813SEPHPStageUE2","Host pool","East US 2"
"2813SEPWrkspcStageUE2","Workspace","East US 2"
"2813VW118183WebcAGStageUE2","Application group","East US 2"
"2885MastersafDWAGStgUE2","Application group","East US 2"
"2885MastersafDWHPStgUE2","Host pool","East US 2"
"2885MastersafDWWrkspcStgUE2","Workspace","East US 2"
"2950-Bastion-Stage-UE2","Workspace","East US 2"
"2950-Bastion-workspace-stg","Log Analytics workspace","East US 2"
"2950-PUTTY-RAG","Application group","East US 2"
"2950-RDC-RAG","Application group","East US 2"
"2950-WebBrowsers-RAG","Application group","East US 2"
"2986HRRAHPStageUE2","Host pool","East US 2"
"2986HRRAHRRASDReportAGStageUE2","Application group","East US 2"
"2986HRRANonSDRepAGStageUE2","Application group","East US 2"
"2986HRRAOfflineAGStageUE2","Application group","East US 2"
"2986HRRARecruitiAGStageUE2","Application group","East US 2"
"2986HRRAWrkspcStageUE2","Workspace","East US 2"
"3041EMSAPTAGStageUE2","Application group","East US"
"3041EMSHPStageUE2","Host pool","East US"
"3041EMSITIAGStageUE2","Application group","East US"
"3041EMSWrkspcStageUE2","Workspace","East US"
"3088PCMConsolidRepUATAGStageUE2","Application group","East US 2"
"3088SDMHPStageUE2","Host pool","East US 2"
"3088SDMWrkspcStageUE2","Workspace","East US 2"
"3728RevalConnectAGStageUE2","Application group","East US 2"
"3728RevalConnectHPStageUE2","Host pool","East US 2"
"3728RevalConnectWrkspcStageUE2","Workspace","East US 2"
"3895CTMHPStageUE2","Host pool","East US 2"
"3895CTMSANDBOXSandboxCont-MWorkAutAGStageUE2","Application group","East US 2"
"3895CTMWrkspcStageUE2","Workspace","East US 2"
"39580OmnicastAGStgUE2","Application group","East US 2"
"39580OmnicastHPStgSEA","Host pool","East US 2"
"39580OmnicastHPStgUE2","Host pool","East US 2"
"39580OmnicastRDSWrkspcStgUE2","Workspace","East US 2"
"4175InforSecDashAGStageUE2","Application group","East US 2"
"4175ISDashboardHPStageUE2","Host pool","East US 2"
"4175ISDashboardWrkspcStageUE2","Workspace","East US 2"
"4339MMRHPStageUE2","Host pool","East US 2"
"4339MMRWrkspcStageUE2","Workspace","East US 2"
"4339PBIDesktopAGStageUE2","Application group","East US 2"
"4339TrimDesktopAGStageUE2","Application group","East US 2"
"4359CIODBACMSHPStageUE2","Host pool","East US 2"
"4359CIODBACMSWrkspcStageUE2","Workspace","East US 2"
"4359DMA-AMZAGStageUE2","Application group","East US 2"
"47539ExcelAGStageUE2","Application group","East US 2"
"47539ICFHPStageUE2","Host pool","East US 2"
"47539ICFWrkspcStageUE2","Workspace","East US 2"
"4834CAPDatalakeAlteryxGuiAGStageUE2","Application group","East US 2"
"4834CAPDatalakeHPStageUE2","Host pool","East US 2"
"4834CAPDatalakeQlikView12AGStageUE2","Application group","East US 2"
"4834CAPDatalakeTableau2021.2AGStageUE2","Application group","East US 2"
"4834CAPDatalakeWrkspcStageUE2","Workspace","East US 2"
"4834CAPGATESTQlikDesktopAGStageUE2","Application group","East US 2"
"4834CIOAdvAnalyChromeAGStageUE2","Application group","East US 2"
"4834CIOAdvAnalyHPStageUE2","Host pool","East US 2"
"4834CIOAdvAnalyInternetExplAGStageUE2","Application group","East US 2"
"4834CIOAdvAnalyWrkspcStageUE2","Workspace","East US 2"
"4834CIOAnalytPlatfChromeAGStageUE2","Application group","East US 2"
"4834CIOAnalytPlatfHPStageUE2","Host pool","East US 2"
"4834CIOAnalytPlatfMSReportBuilAGStageUE2","Application group","East US 2"
"4834CIOAnalytPlatfQlikSenseMgmtConsAGStageUE2","Application group","East US 2"
"4834CIOAnalytPlatfQlikSenseStaAGStageUE2","Application group","East US 2"
"4834CIOAnalytPlatfQlikViewSSRDAGStageUE2","Application group","East US 2"
"4834CIOAnalytPlatfQlikViewStageRep-SourceDocs-AGStageUE2","Application group","East US 2"
"4834CIOAnalytPlatfWrkspcStageUE2","Workspace","East US 2"
